date,product_name,product_id,season,is_holiday,is_weekend,demand,competitor_price,base_cost,selling_price,discount_pct,effective_price,units_sold,revenue,profit,profit_margin_pct
2022-04-15,Social Media Pack,3,1,0,0,49.72,13.82,4.0,14.39,10.31,12.91,6.0,77.44,53.44,69.01
2022-04-18,UI Component Set,4,1,0,0,39.33,42.38,12.0,43.6,7.88,40.16,6.0,240.99,168.99,70.12
2022-04-17,Graphic Bundle Pro,0,1,0,1,56.95,37.53,8.0,34.07,0.0,34.07,4.0,136.28,104.28,76.52
2022-04-18,Logo Template Pack,1,1,0,0,40.63,18.93,5.0,18.25,0.0,18.25,4.0,73.0,53.0,72.6
2022-04-22,Mockup Studio Kit,2,1,0,0,44.32,38.55,10.0,37.89,0.0,37.89,5.0,189.45,139.45,73.61
2022-04-23,Social Media Pack,3,1,0,1,43.37,11.62,4.0,12.91,3.49,12.46,6.0,74.76,50.76,67.9
2022-04-20,UI Component Set,4,1,0,0,50.09,50.04,12.0,49.54,0.0,49.54,5.0,247.7,187.7,75.78
2022-04-22,Graphic Bundle Pro,0,1,0,0,40.72,32.1,8.0,29.47,0.0,29.47,4.0,117.88,85.88,72.85
2022-04-23,Logo Template Pack,1,1,0,1,51.62,18.08,5.0,18.66,8.09,17.15,7.0,120.05,85.05,70.85
2022-04-27,Mockup Studio Kit,2,1,0,0,44.16,47.53,10.0,42.35,0.0,42.35,4.0,169.4,129.4,76.39
2022-04-28,Social Media Pack,3,1,0,0,31.97,18.26,4.0,15.55,0.0,15.55,2.0,31.1,23.1,74.28
2022-04-27,UI Component Set,4,1,0,0,30.31,47.49,12.0,44.39,0.0,44.39,4.0,177.56,129.56,72.97
2022-04-28,Graphic Bundle Pro,0,1,0,0,32.43,27.15,8.0,26.04,0.0,26.04,4.0,104.16,72.16,69.28
2022-04-28,Logo Template Pack,1,1,0,0,44.0,17.46,5.0,17.77,8.98,16.17,6.0,97.05,67.05,69.09
2022-04-28,Mockup Studio Kit,2,1,0,0,31.41,42.84,10.0,38.02,0.0,38.02,3.0,114.06,84.06,73.7
2022-05-03,Social Media Pack,3,1,0,0,39.81,18.7,4.0,16.24,0.0,16.24,2.0,32.48,24.48,75.37
2022-05-03,UI Component Set,4,1,0,0,34.92,60.11,12.0,51.6,0.0,51.6,4.0,206.4,158.4,76.74
2022-05-03,Graphic Bundle Pro,0,1,0,0,29.76,32.18,8.0,28.24,19.55,22.72,4.0,90.88,58.88,64.79
2022-05-05,Logo Template Pack,1,1,0,0,58.94,22.09,5.0,21.22,0.0,21.22,5.0,106.1,81.1,76.44
2022-05-03,Mockup Studio Kit,2,1,0,0,33.47,39.75,10.0,36.8,0.0,36.8,4.0,147.2,107.2,72.83
2022-05-04,Social Media Pack,3,1,0,0,22.52,14.65,4.0,13.18,16.91,10.95,5.0,54.76,34.76,63.48
2022-05-06,UI Component Set,4,1,0,0,43.97,58.92,12.0,52.78,0.0,52.78,4.0,211.12,163.12,77.26
2022-05-08,Graphic Bundle Pro,0,1,0,1,50.71,23.49,8.0,26.33,10.13,23.66,7.0,165.64,109.64,66.19
2022-05-10,Logo Template Pack,1,1,0,0,26.08,22.62,5.0,18.99,5.73,17.9,3.0,53.71,38.71,72.07
2022-05-11,Mockup Studio Kit,2,1,0,0,38.18,29.35,10.0,32.33,7.72,29.83,6.0,179.0,119.0,66.48
2022-05-11,Social Media Pack,3,1,0,0,34.93,16.79,4.0,14.99,0.0,14.99,3.0,44.97,32.97,73.32
2022-05-10,UI Component Set,4,1,0,0,49.34,59.75,12.0,54.25,0.0,54.25,4.0,217.0,169.0,77.88
2022-05-14,Graphic Bundle Pro,0,1,0,1,46.41,35.89,8.0,32.03,0.0,32.03,3.0,96.09,72.09,75.02
2022-05-14,Logo Template Pack,1,1,0,1,56.85,21.75,5.0,20.9,0.0,20.9,5.0,104.5,79.5,76.08
2022-05-15,Mockup Studio Kit,2,1,0,1,47.03,32.18,10.0,35.13,8.62,32.1,6.0,192.61,132.61,68.85
2022-05-18,Social Media Pack,3,1,0,0,36.39,15.35,4.0,14.36,0.0,14.36,4.0,57.44,41.44,72.14
2022-05-15,UI Component Set,4,1,0,1,52.79,37.23,12.0,43.66,6.8,40.69,7.0,284.84,200.84,70.51
2022-05-17,Graphic Bundle Pro,0,1,0,0,38.99,37.05,8.0,31.75,0.0,31.75,3.0,95.25,71.25,74.8
2022-05-19,Logo Template Pack,1,1,0,0,38.51,16.71,5.0,16.98,4.88,16.15,5.0,80.76,55.76,69.04
2022-05-20,Mockup Studio Kit,2,1,0,0,13.98,41.92,10.0,34.84,14.8,29.68,2.0,59.37,39.37,66.31
2022-05-23,Social Media Pack,3,1,0,0,45.31,18.46,4.0,16.45,0.0,16.45,4.0,65.8,49.8,75.68
2022-05-21,UI Component Set,4,1,0,1,55.01,57.87,12.0,54.42,0.0,54.42,5.0,272.1,212.1,77.95
2022-05-25,Graphic Bundle Pro,0,1,0,0,36.96,34.74,8.0,30.36,0.0,30.36,3.0,91.08,67.08,73.65
2022-05-24,Logo Template Pack,1,1,0,0,34.44,20.12,5.0,18.38,0.0,18.38,4.0,73.52,53.52,72.8
2022-05-25,Mockup Studio Kit,2,1,0,0,42.22,38.54,10.0,37.56,0.0,37.56,5.0,187.8,137.8,73.38
2022-05-27,Social Media Pack,3,1,0,0,28.16,11.59,4.0,11.98,9.67,10.82,5.0,54.11,34.11,63.04
2022-05-26,UI Component Set,4,1,0,0,39.64,39.76,12.0,42.35,5.77,39.91,6.0,239.44,167.44,69.93
2022-05-28,Graphic Bundle Pro,0,1,0,1,38.9,26.57,8.0,26.5,0.0,26.5,4.0,106.0,74.0,69.81
2022-05-28,Logo Template Pack,1,1,0,1,56.98,23.27,5.0,21.67,0.0,21.67,4.0,86.68,66.68,76.93
2022-05-30,Mockup Studio Kit,2,1,0,0,27.55,36.39,10.0,34.19,11.47,30.27,4.0,121.07,81.07,66.96
2022-05-31,Social Media Pack,3,1,0,0,51.03,13.25,4.0,14.19,7.2,13.17,6.0,79.01,55.01,69.62
2022-06-03,UI Component Set,4,2,0,0,43.81,61.82,12.0,54.2,0.0,54.2,3.0,162.6,126.6,77.86
2022-06-02,Graphic Bundle Pro,0,2,0,0,39.46,22.51,8.0,24.53,2.07,24.02,6.0,144.13,96.13,66.7
2022-06-03,Logo Template Pack,1,2,0,0,45.77,14.58,5.0,16.47,1.66,16.2,5.0,80.98,55.98,69.13
2022-06-04,Mockup Studio Kit,2,2,0,1,40.17,47.47,10.0,41.7,0.0,41.7,4.0,166.8,126.8,76.02
2022-06-04,Social Media Pack,3,2,0,1,67.74,12.59,4.0,14.86,11.59,13.14,8.0,105.1,73.1,69.55
2022-06-05,UI Component Set,4,2,0,1,37.26,53.01,12.0,48.51,0.0,48.51,5.0,242.55,182.55,75.26
2022-06-06,Graphic Bundle Pro,0,2,0,0,31.0,26.83,8.0,25.71,0.0,25.71,4.0,102.84,70.84,68.88
2022-06-06,Logo Template Pack,1,2,0,0,46.93,17.57,5.0,18.05,1.17,17.84,5.0,89.19,64.19,71.97
2022-06-10,Mockup Studio Kit,2,2,0,0,35.15,32.8,10.0,33.58,10.88,29.93,7.0,209.49,139.49,66.59
2022-06-09,Social Media Pack,3,2,0,0,43.32,16.15,4.0,15.17,0.0,15.17,4.0,60.68,44.68,73.63
2022-06-12,UI Component Set,4,2,0,1,37.51,41.41,12.0,42.76,7.61,39.51,5.0,197.53,137.53,69.62
2022-06-11,Graphic Bundle Pro,0,2,0,1,64.31,31.07,8.0,31.69,1.9,31.09,6.0,186.53,138.53,74.27
2022-06-11,Logo Template Pack,1,2,0,1,45.68,20.75,5.0,19.55,0.0,19.55,4.0,78.2,58.2,74.42
2022-06-15,Mockup Studio Kit,2,2,0,0,40.04,43.48,10.0,39.69,0.0,39.69,3.0,119.07,89.07,74.8
2022-06-13,Social Media Pack,3,2,0,0,47.15,13.16,4.0,13.91,13.11,12.09,7.0,84.6,56.6,66.9
2022-06-17,UI Component Set,4,2,0,0,38.92,55.01,12.0,49.83,0.0,49.83,4.0,199.32,151.32,75.92
2022-06-18,Graphic Bundle Pro,0,2,0,1,48.92,37.44,8.0,33.09,0.0,33.09,4.0,132.36,100.36,75.82
2022-06-20,Logo Template Pack,1,2,0,0,32.16,19.69,5.0,17.99,0.0,17.99,3.0,53.97,38.97,72.21
2022-06-19,Mockup Studio Kit,2,2,0,1,48.79,37.72,10.0,38.17,10.24,34.26,6.0,205.57,145.57,70.81
2022-06-19,Social Media Pack,3,2,0,1,59.61,18.34,4.0,17.25,0.0,17.25,5.0,86.25,66.25,76.81
2022-06-23,UI Component Set,4,2,0,0,16.8,56.52,12.0,46.25,18.18,37.84,3.0,113.53,77.53,68.29
2022-06-22,Graphic Bundle Pro,0,2,0,0,13.41,34.24,8.0,27.38,13.55,23.67,1.0,23.67,15.67,66.2
2022-06-23,Logo Template Pack,1,2,0,0,30.23,22.59,5.0,19.29,0.0,19.29,3.0,57.87,42.87,74.08
2022-06-22,Mockup Studio Kit,2,2,0,0,38.17,50.25,10.0,42.78,0.0,42.78,3.0,128.34,98.34,76.62
2022-06-24,Social Media Pack,3,2,0,0,40.54,14.51,4.0,14.19,0.0,14.19,5.0,70.95,50.95,71.81
2022-06-25,UI Component Set,4,2,0,1,42.61,52.97,12.0,49.54,0.0,49.54,4.0,198.16,150.16,75.78
2022-06-28,Graphic Bundle Pro,0,2,0,0,45.43,27.77,8.0,27.85,5.91,26.2,5.0,131.02,91.02,69.47
2022-06-27,Logo Template Pack,1,2,0,0,20.04,24.23,5.0,19.34,8.65,17.67,2.0,35.33,25.33,71.7
2022-06-27,Mockup Studio Kit,2,2,0,0,38.68,35.22,10.0,35.34,3.03,34.27,4.0,137.08,97.08,70.82
2022-06-30,Social Media Pack,3,2,0,0,36.4,11.62,4.0,12.49,7.22,11.59,6.0,69.53,45.53,65.48
2022-07-01,UI Component Set,4,2,0,0,20.09,39.73,12.0,38.5,8.79,35.12,4.0,140.46,92.46,65.83
2022-07-01,Graphic Bundle Pro,0,2,0,0,40.08,37.45,8.0,32.07,0.0,32.07,3.0,96.21,72.21,75.05
2022-07-04,Logo Template Pack,1,2,1,0,34.82,15.69,5.0,16.19,4.57,15.45,5.0,77.25,52.25,67.64
2022-07-04,Mockup Studio Kit,2,2,1,0,36.04,40.88,10.0,37.76,0.0,37.76,4.0,151.04,111.04,73.52
2022-07-03,Social Media Pack,3,2,0,1,44.63,18.28,4.0,16.32,0.0,16.32,3.0,48.96,36.96,75.49
2022-07-06,UI Component Set,4,2,0,0,24.0,47.66,12.0,43.23,16.4,36.14,4.0,144.56,96.56,66.8
2022-07-08,Graphic Bundle Pro,0,2,0,0,34.77,23.67,8.0,24.57,13.44,21.27,5.0,106.34,66.34,62.38
2022-07-07,Logo Template Pack,1,2,0,0,29.11,18.57,5.0,17.2,11.75,15.18,4.0,60.72,40.72,67.06
2022-07-08,Mockup Studio Kit,2,2,0,0,51.54,48.01,10.0,43.75,0.0,43.75,4.0,175.0,135.0,77.14
2022-07-10,Social Media Pack,3,2,0,1,31.76,12.58,4.0,12.7,14.1,10.91,6.0,65.46,41.46,63.34
2022-07-11,UI Component Set,4,2,0,0,35.33,49.97,12.0,46.61,0.0,46.61,4.0,186.44,138.44,74.25
2022-07-11,Graphic Bundle Pro,0,2,0,0,38.25,23.75,8.0,25.01,14.28,21.44,7.0,150.07,94.07,62.68
2022-07-13,Logo Template Pack,1,2,0,0,44.49,20.04,5.0,19.1,0.0,19.1,4.0,76.4,56.4,73.82
2022-07-12,Mockup Studio Kit,2,2,0,0,48.51,48.92,10.0,43.73,0.0,43.73,4.0,174.92,134.92,77.13
2022-07-14,Social Media Pack,3,2,0,0,50.68,14.55,4.0,14.82,7.98,13.64,6.0,81.82,57.82,70.67
2022-07-18,UI Component Set,4,2,0,0,3.41,49.38,12.0,40.06,7.29,37.14,1.0,37.14,25.14,67.69
2022-07-19,Graphic Bundle Pro,0,2,0,0,29.32,27.21,8.0,25.71,16.92,21.36,6.0,128.16,80.16,62.55
2022-07-16,Logo Template Pack,1,2,0,1,64.21,23.9,5.0,22.53,0.0,22.53,4.0,90.12,70.12,77.81
2022-07-20,Mockup Studio Kit,2,2,0,0,37.44,50.56,10.0,42.82,0.0,42.82,3.0,128.46,98.46,76.65
2022-07-22,Social Media Pack,3,2,0,0,40.19,12.51,4.0,13.17,9.48,11.92,6.0,71.53,47.53,66.45
2022-07-19,UI Component Set,4,2,0,0,29.43,56.32,12.0,48.63,11.92,42.83,4.0,171.33,123.33,71.98
2022-07-23,Graphic Bundle Pro,0,2,0,1,53.11,27.22,8.0,28.47,2.66,27.71,6.0,166.28,118.28,71.13
2022-07-23,Logo Template Pack,1,2,0,1,54.56,18.95,5.0,19.32,13.39,16.73,7.0,117.13,82.13,70.12
2022-07-25,Mockup Studio Kit,2,2,0,0,54.44,37.11,10.0,38.75,11.08,34.46,7.0,241.2,171.2,70.98
2022-07-26,Social Media Pack,3,2,0,0,46.13,15.45,4.0,14.99,0.0,14.99,5.0,74.95,54.95,73.32
2022-07-25,UI Component Set,4,2,0,0,30.97,47.75,12.0,44.65,0.0,44.65,4.0,178.6,130.6,73.12
2022-07-27,Graphic Bundle Pro,0,2,0,0,41.24,32.4,8.0,29.68,0.0,29.68,4.0,118.72,86.72,73.05
2022-07-29,Logo Template Pack,1,2,0,0,26.79,16.32,5.0,15.9,16.67,13.25,4.0,53.0,33.0,62.26
2022-07-30,Mockup Studio Kit,2,2,0,1,35.72,32.02,10.0,33.28,4.13,31.91,5.0,159.53,109.53,68.66
2022-07-29,Social Media Pack,3,2,0,0,41.74,12.92,4.0,13.46,8.13,12.37,5.0,61.83,41.83,67.65
2022-07-30,UI Component Set,4,2,0,1,26.27,43.63,12.0,41.66,14.38,35.67,5.0,178.35,118.35,66.36
2022-08-02,Graphic Bundle Pro,0,2,0,0,33.6,22.12,8.0,23.66,6.0,22.24,5.0,111.2,71.2,64.03
2022-08-04,Logo Template Pack,1,2,0,0,34.4,24.03,5.0,20.33,0.0,20.33,3.0,60.99,45.99,75.41
2022-08-02,Mockup Studio Kit,2,2,0,0,46.92,42.81,10.0,40.43,0.0,40.43,4.0,161.72,121.72,75.27
2022-08-03,Social Media Pack,3,2,0,0,31.4,18.87,4.0,15.82,0.0,15.82,2.0,31.64,23.64,74.72
2022-08-07,UI Component Set,4,2,0,1,42.58,57.3,12.0,51.7,0.0,51.7,5.0,258.5,198.5,76.79
